RegionID,RegionName,SizeRank,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
102001,United States,0,204708,203742,202810,200931.3333,199143.6667,197420,195791.6667,194096.3333,192482.6667,190852,189101.6667,187248.3333,185346.6667,183724.3333,182129,180610.6667,179142,177922.3333,177018,176306.6667,175702,175239.6667,175059.6667,174976.3333,174864,174605.6667,174402.3333,174338.6667,174234.3333,173948.6667,173302.6667,172560,171666,170753,169721.3333,168732,167726,166738.3333,165762,164752.6667,163767,162914,162358.6667,161999,161717.3333,161348.3333,160982.3333,160599.6667,160335.3333,160124,160174.6667,160386.3333,160791.6667,161237.3333,161789.3333,162411.3333,163075,163770.6667,164520.3333,165303,166208,167156.6667,168254.6667,169375.3333,170610.3333,171926,173327.3333,174720.6667,176041.6667,177262,178338,179316.6667,180246.3333,181144.3333,181858,182415,182947.6667,183558.3333,184171.3333,184688.6667,185178.3333,185759,186463,187228.3333,187977.6667,188757.6667,189611.6667,190475,191347.6667,192131.6667,192883.6667,193672.6667,194500.3333,195342,196133,197048,198045.6667,199073,199944,200853.3333,201743,202681.6667,203572.6667,204475,205414.6667,206412.3333,207526,208668,209808,210926,212070,213272,214418.3333,215524.3333,216501,217502,218588,219786.3333,221061,222375.6667,223684.6667,225040.3333,226359.3333,227658.6667,228843.6667,229896.6667,230837,231725.6667,232601,233463.6667,234337,235257.6667,236241.3333,237154,237945.3333,238624.6667,239270,239882,240460.3333,241057,241730.6667,242470.6667,243225.3333
394913,"New York, NY",1,462616,461571.5,459615.3333,456525.6667,452319.3333,448731,445327,442884.3333,440298,437431.3333,434194,431119.3333,427393.3333,423597,419700.3333,415759,412498.6667,409302,406875.6667,404609.3333,403210.3333,402407,402064,401965.6667,401960.3333,402068,401404,400694.6667,399772.6667,399989.6667,400472,400967.6667,400684.3333,399640,398031.3333,396102,394714.3333,393433,392553,390794,389015.3333,386832,385266.6667,383949.3333,382744.3333,381483.3333,379876,378497.6667,377065,375660,374341.6667,373251,372683.3333,372530.6667,372553.3333,372676,372757,372890.3333,373271.6667,373886.6667,374524.6667,375313.6667,376160,377548,379220,380951.3333,382755.6667,384507,386344,388339.6667,390248.3333,391940,393784,395398,397160,398522.3333,399887.3333,401087.3333,401972.6667,402780.3333,403465.3333,404124.3333,404598,405363,406154.6667,407267.3333,408014.3333,409151.6667,410164.6667,411434.6667,412304.6667,412969.6667,413654.6667,414426.6667,415842.6667,416929,417738,418357,419323.6667,420847.6667,422232.3333,423432.3333,424452.3333,425455.6667,426532.3333,427771.6667,429144.3333,430672.6667,432660.3333,434349.3333,436449.3333,438082,440739,443070.6667,445595.6667,447579.6667,449464,451181.6667,452819.6667,454488.6667,456689.6667,459356.6667,462350.3333,465331,467696.3333,469318.3333,469925,470442.3333,471385.6667,472828.3333,474404,475688.3333,476568,477360.3333,478365.3333,479467,480338,480535.3333,480399,479938,479332.6667,478734,478439
753899,"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,434564,433976.5,432979.3333,430096.3333,427052.6667,424714.6667,421776,421049.6667,421874.3333,424298,425701.6667,427693.6667,430283.6667,430393,428221.6667,428256.6667,431025.3333,435369.6667,434750,433324.3333,430369.6667,428075.6667,424254.3333,419309,415879.3333,413598.3333,412698.6667,410831.3333,409020.3333,404630.3333,403739.3333,403652.3333,403179.3333,400207.3333,396250.3333,394841.6667,393374.3333,391595.3333,390035.6667,389586.3333,390414,392133.3333,394384.3333,398154,401620.6667,405187.6667,409001,412389.3333,417286.6667,422379.3333,430904.6667,440159,449370.6667,456873.3333,464705.6667,473119.6667,482292,489765.6667,494662.3333,499170.6667,502345.3333,506636,508020.3333,508931.6667,508235.3333,508463,508878.3333,510700.6667,510465,510857,511095.6667,513779.3333,516489.3333,520658.3333,525352,529721.6667,531370.3333,533476,535714.6667,537935,540379.6667,543285,547273.6667,550219.3333,555168.6667,558695,562850,565007.3333,568403.6667,571602.6667,574506.6667,576036.3333,578484,581701.6667,586160.3333,589545.3333,591746,596072.3333,599438.6667,603453.3333,605571,609163,612979.6667,614816.6667,616556,618717,622887,628421.6667,633349,637952,642832,647734,652220.6667,654488.3333,657032,656940.6667,656979.6667,656356,658623.6667,659802.6667,658881.6667,657910.6667,656380,655571.3333,655451.3333,656412.6667,658269,657708.6667,658682.6667,661175.6667,665561.3333,667661.6667
394463,"Chicago, IL",3,241612,238594,238799.3333,238590.3333,240835.3333,240528,239678,236938.6667,235810.3333,233192.6667,231247.6667,228000,225624.6667,224093.6667,222111.6667,219921.3333,216856,214915,213484.3333,212506.6667,210847.6667,209530.6667,208237.6667,208151.6667,207141.6667,206668.6667,204635.6667,204505,202950,203228.3333,202800,203858,203748.6667,202646.3333,200237.6667,198127.6667,195872.6667,193975.6667,192410,190313.3333,189041.3333,187290,186940.6667,185936.6667,185267.3333,183260.6667,182279.3333,180256.6667,179186,176841.3333,176437.3333,175745.3333,175860.3333,175547.3333,174828,174299,173692,174438,175223.6667,175718,176459.3333,177325.6667,178100.3333,179078.6667,180021.3333,181967.3333,183692.6667,186004,187848.3333,190368.6667,191564.3333,192932.6667,193510.6667,194722.6667,195209.6667,195267.6667,195610,196600.6667,197532.6667,197977.6667,198512.6667,199123,199802.6667,200389,200753.3333,201203,201966.6667,203028.6667,203795.3333,203800.6667,203832.6667,203856,204021.3333,204321,204721,205622.6667,206575.6667,208306,209626.3333,210510.3333,210868.6667,211223.3333,211896,212460.3333,212964.6667,213679.6667,214787.3333,216307,218040,219741.3333,221456,222655.3333,223363.3333,223500.3333,223502.3333,223773.3333,224382.3333,225511,226741.6667,228321.6667,229949.6667,231407.6667,232214.3333,232645.6667,232906,233303.3333,233506.6667,233759.6667,234250.6667,234864.3333,235633.3333,236242.6667,236794.3333,237617.3333,238238,238605.3333,238545.3333,238307.3333,238186.3333,238014.6667,237957,238029.3333,238254.6667
394514,"Dallas-Fort Worth, TX",4,155762,155011.5,154538,153567,152870,152417.3333,152217.3333,152062.6667,151589,150883.6667,150060.3333,149502,149147,149135.3333,149190.6667,149237.3333,149226,149038.3333,149030.3333,149136,149445,149664.6667,150171.3333,150483.6667,150433.3333,150085.3333,149753.3333,149896.6667,149827.3333,149750.6667,149078.3333,148510,147712,147068,146104,145520.6667,145096,144501,143932,143074.3333,142568,141906,141778.6667,141899.3333,142250,142373.3333,142176.3333,141694.6667,141406.3333,141775,142362,142959.6667,143342.6667,143837,144510.3333,145154.6667,145744,146242.3333,146827,147361,148061,148606.3333,149454.6667,150315,151365.3333,152463.6667,153668.6667,154830,156112.3333,157451.3333,158788.3333,159893.6667,160671,161545.6667,162358,163209.6667,164054.6667,165128,165895.3333,166826,167559.6667,168779,170057,171460.6667,172898,174258.6667,175814,177430.3333,179181.3333,180961.3333,182737.3333,184038.3333,185209.6667,186487,188125.3333,189989.6667,191522,193097,194514.3333,196256,198139.3333,199960.3333,201880,203247,204692.6667,206228.6667,208187.6667,210274,211995.6667,213833,215257.3333,216942,218460,220045.6667,221332.6667,222547.6667,224114.3333,225947.6667,227806,229413.3333,231059.3333,232928.6667,234780,236291.6667,237417.3333,238527,239440,240516.6667,241389.6667,242459.6667,243511.6667,244842.6667,246525,247668.6667,248296.6667,248276.6667,248374.6667,248380.6667,248503,249192,250377.3333,250994.6667,251320
394974,"Philadelphia, PA",5,247743,247707,247272.6667,246557.3333,245224.3333,243877.3333,242436.6667,241218,240018.6667,238744.6667,237400.3333,235952,234409,233105.3333,232048.6667,231191.6667,230236.3333,229372.3333,228549.6667,228078,227743.3333,227880,228121.6667,228237.3333,228220,227837,227350,226942,226898.3333,227048,226864.3333,226169,224970.3333,223465.6667,221708,220189.6667,218870.6667,217854.3333,216672.6667,215209.6667,213565,212019.6667,210887.6667,210168,209448.3333,208701.6667,207830.3333,207094.3333,206164.3333,205185.6667,204498.6667,204144.6667,203939.6667,203547.6667,203141.3333,202855.6667,202804.6667,202740.3333,202726,202644.3333,202795.3333,202892,203124,203478.6667,204292.6667,205308.3333,206406.3333,207206.6667,208051.3333,208669.3333,209272.6667,209542.6667,209926.6667,210288,210406.3333,210048.3333,209992.3333,210228.6667,210683,210692.6667,210672.6667,210732,210981,211301.6667,211532.6667,211719.3333,212003.6667,212454.6667,212764.6667,212964.6667,213185.6667,213581,213909.3333,214023.3333,214044,214033.6667,214210.3333,214532,214747.6667,215132,215563.6667,216418,217036.6667,217673,218173.6667,218913,219638.3333,220631.3333,221706.6667,222592,223196.3333,223718,224391,224995.3333,225435.6667,225998.6667,226695,227761,228785.3333,229912.3333,230820.6667,231985.6667,233357,234745.6667,235690,236211,236687.3333,237176.3333,237914.6667,238573,239548,240513.3333,241546.6667,242293,243139.3333,243741.6667,244368,244587.6667,245071,245569.3333,246123.3333,246591.3333,247154.6667
394692,"Houston, TX",6,154465,154286,154096.3333,153623.6667,152996.3333,152473.3333,152095.6667,151692.3333,151282.6667,150946.3333,150397.6667,149685.6667,148833.3333,148582.3333,148340.3333,148290.3333,148269,148599,149124,149434.3333,149525,149363.6667,149613.6667,149952.3333,149988.3333,149931.3333,150058.6667,150392.3333,150508.6667,150112.3333,149182.6667,147962,147070.6667,146490.6667,146204.6667,145826,145274.6667,144488.3333,143413.3333,142581.6667,141922.3333,141526.6667,141389,141453.6667,141500,141448,140773,140350.6667,140214.6667,140505.6667,140945.6667,141202.6667,141586,141796.3333,142337,142945.6667,143479.6667,143650.3333,144050,144458.6667,145249,146097.3333,147538.6667,149119.3333,150612.6667,151780.3333,153030.6667,154465.3333,155956.6667,157433,158772.6667,159985,161300.3333,162587,163617.3333,164420,165194.3333,166429.3333,167854.6667,169628.6667,171362.6667,172874,174207.3333,175561,176991,178215.3333,179583,180837,182087.3333,183107,183792.3333,184379,185000.6667,185967.3333,186804,187570.6667,188543.3333,189352,189806.6667,189923.6667,190430.3333,191074,191784.6667,192114.3333,192458,192769.3333,193723.6667,194804.3333,195470.6667,195997.6667,196526.6667,197214.3333,197659,198093.6667,198398.6667,198656.6667,199004.6667,199547.3333,200284,200978.6667,201655.3333,202079.6667,202545.6667,203474.6667,204466,205282.3333,205774.6667,206662.6667,207671.3333,208665.3333,209402,210062.6667,211090,211895.3333,212321.6667,212261.6667,212348,212776.3333,213280,213831.3333,214229.6667,215009.3333,215706.3333
395209,"Washington, DC",7,412632,408842,405143.6667,398317,391388.6667,385471.3333,380155,375754.3333,370956.3333,366146.6667,361316.3333,356874,351703,346573,341773,338058.3333,336214,335319.3333,335063.3333,334639,333788.6667,333148.6667,332902,333596.6667,334668.6667,334664,335093.6667,335837.6667,337643.6667,338244.6667,338167,337507.6667,336974,335953,334052.3333,332435.3333,331379.3333,331465.6667,331151.6667,330890,330129,330105,329732.3333,329568,328729.6667,327894,327569.6667,327167.6667,326927,326873.6667,328036.3333,329366.3333,330782.6667,332263.6667,334165.6667,335834.6667,337079.6667,338553,340541.6667,342749,345206,347241,349273,351151.6667,353579.6667,355782,358207,360709,363968,366733,369270.3333,370672,372087.3333,373500.3333,374815.3333,375747.6667,375655.3333,375334,375410.3333,375418.3333,375815,375963.3333,376356.6667,376553,376291.6667,376860,377654.3333,378043,378045.6667,377916.6667,378166.3333,378179.3333,378498.3333,379231,379966,380889,381589,381603.3333,381622.6667,382325.6667,383862.6667,384860,385545.3333,386020,387301,388475,389844.6667,391445,393596.3333,396234.3333,397617.3333,398348.6667,397991,398390.3333,398879.6667,400207.3333,401568.3333,403353.6667,405202,406326,407187,408078.6667,409610,411173,412643,413793.3333,414645,415128,415697.6667,416565.3333,417415,418877.3333,420508,422626.6667,424069.6667,424879.6667,424981,425080,424897,425729,427153.3333,429340.3333,431428
394856,"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,216908,214731,212803,208886.6667,204779.3333,200397.3333,195968.6667,192738.6667,189826.6667,187443.3333,185063,183468.3333,182026,180422,179278.3333,178643.3333,178581,178227.3333,177620.3333,176432,175251.3333,173862.3333,172525.3333,170571.6667,168825,167229.6667,165656.3333,164293,163146.6667,162546.6667,161801.6667,161018.6667,160151.6667,159662.6667,159356.6667,159288,159276,159173.3333,159314.6667,159194.3333,159580.6667,160111.3333,161179.6667,162390,163565.3333,165118.3333,166868.6667,168575,169857,171191.6667,173060.3333,175414.3333,178087,181102.3333,184040.6667,186463.3333,189077,191827.3333,194924,197732,201062.6667,204203.6667,207193.6667,209116.3333,210987,212021.6667,213643,214976.3333,216937.3333,218411.3333,219906.6667,221530,222469.6667,223815,224823,226568.6667,227596.6667,228914.6667,230018.6667,231498.3333,232698.3333,234092.3333,235828,237454.6667,239400,241188.6667,243071.3333,244678.6667,245866.6667,247273.6667,248762.6667,250906.3333,253045,254885.3333,256252.3333,257627.3333,259231,261081,262560.3333,263911.6667,264730.3333,266082.3333,267404.3333,268873.3333,270189,271948,273562.6667,275421,276412,277769.6667,278526.6667,280123.3333,281826,283365.3333,285030.6667,286308,287867,288799,289563.6667,290116.6667,291820.6667,293329.6667,294763.3333,294640.3333,294927.6667,295278.3333,295647,296243.6667,296649,296883,296964,297698,298564.6667
394347,"Atlanta, GA",9,193619,192713,191834,190368.3333,189135.3333,188028,186794.6667,185446.6667,184112.3333,182431.6667,180012.3333,176983.3333,173978.3333,171282,168733,166065,163654.6667,161758,160569.6667,159722.6667,158865.3333,157787.3333,156828,156340.6667,155733.3333,155139.3333,154382,154212.6667,154072,153729.6667,152311.6667,150485.3333,148129.6667,146225,144211.6667,142580.3333,140863,139544.3333,137882.3333,136047.6667,133675.6667,131615,130108,129536,129527.6667,129571,129335.6667,128314.6667,127704,127165.6667,127852.3333,128485,129389,130314.3333,131361.6667,131955.3333,131928.3333,132066,132901.3333,134047,135512.3333,137106.6667,138952.3333,140566.3333,142373,144291,146308,148531,150828.6667,153036.6667,154881.6667,156770.6667,158374.3333,159783.6667,160795.3333,161759.3333,162655,163453.3333,164459,165264,166075.3333,166744.3333,167554,168459.3333,169391,170210.6667,170828.6667,171595.3333,172667,173864.6667,174714.3333,175518.3333,176359.3333,177204.6667,178114.3333,179059.3333,180300,181461.3333,182816.6667,184186,185395.6667,186177.6667,186722,187248.3333,187778.6667,188742.6667,189983,191723,193032.6667,194422.6667,195515.3333,196735.6667,197944.6667,199282,200683,201768,203277.6667,204709.3333,206509,208429.6667,210569,212628.3333,214102.3333,215491.3333,216806,218184,219594,220951.6667,222506.6667,224111.3333,225697,227125,228236.6667,229316,230491.3333,231669.6667,232602,232897.6667,233357.6667,234031.6667,235044,235879,236768.6667
